CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM PURCHASE PRICE,KSM EQUIVALENT,USD returned at KSM price $33.32 ,TokenSymbol
0x231919835aa6c37092ba56200e477a39d31f25b2,"2,000",372.415,5.370352966,178.940,USDC
0x12c15fafa41d6d427f7d89a68b3d69bf94b9fe6a,"1,692.50",372.415,4.544661198,151.428,USDC
0xe24f1714203518c0972f9e81286e273b445980b5,"37,500",372.415,100.6941181,"3,355.128",USDT
0x2d6b114c77f3355f204c37f657c680157e85dfa5,"9,960",372.415,26.74435777,891.122,USDC
0x1bc8822b33a51e27b8bf1d7b51653c1ebea84aa3,300,372.415,0.805552945,26.841,USDC
0x2c3459fb7a2d3fdac8941cd7a5367c627f10fc6d,30.00,372.415,0.0805552945,2.684,USDT
0x33ff13345df3a650c0136cdafaf0ec190ce502d6,"5,001.99",372.415,13.43122351,447.528,USDC
0xb995f0daae04ab22071874770f3de8902978bc42,"1,288.22",372.415,3.459090813,115.257,USDT
0xfe4229f3d4cc851c94d2d13c74441426ea2e5bd4,700,372.415,1.879623538,62.629,USDT
0x50bd960d37efeb62989a93821aa886c6042f9df1,"10,000",372.415,26.85176483,894.701,USDC
0x31e0bd55b7d810141df3f708d6f27eedc2b8e4c0,478.78,372.415,1.285612185,42.837,USDC
0x903f4afc0963fb4ef3a37355492c40ac5ea582d4,"40,000.00",372.415,107.4070595,"3,578.803",USDC
0x10aeda815442c83aad7ba990aeace28ad5cfe8cc,970,372.415,2.604621189,86.786,USDT
0x0d60977a04b2a88e33df83f577316c9308a3e5ac,220.92,372.415,0.5932075024,19.766,USDT
0xe87945b5350f37e06039432337f417aabbfd4882,1.15,372.415,0.003087952956,0.103,DAI
0x8bc6b3fd67be8d0ad383b71e6f6b1fbafe0716e8,500,372.415,1.342588242,44.735,USDC
0x22390abaa52d4be608b4530dc1522adc01898c3a,"10,000",372.415,26.85176483,894.701,USDC
0xac2c6ac3cc453e1f62758b4f5a5f6a19acf7964f,"4,420",372.415,11.86848006,395.458,USDT
0x189c415968ea2f62f6430d5050df872221633340,"1,342.25",372.415,3.604170226,120.091,DAI
0x5812602b6427e3dae54df18188bd78e428ca9184,900,372.415,2.416658835,80.523,USDC
0x84bb8f4998527aaf4cf5633bb2743533310600bb,"10,000",372.415,26.85176483,894.701,USDT
0x38910403c3e3eaddcc771190ce154842f219db10,"2,000",372.415,5.370352966,178.940,USDC
0xfc0ac081405ad9b335d6a2d5a0812a4959ad4372,"6,000",372.415,16.1110589,536.820,DAI
0x2ef0782745b9890c2d1047cbd33be98e22ec35a2,"1,975",372.415,5.303223554,176.703,USDC
0x444e66a8dd6d8f3d7a370045f0f056a4377e4a59,831,372.415,2.232104561,74.374,DAI
0x5e812a00a2351810156f9b49d7554a7fb8c0ee26,500.00,372.415,1.342588242,44.735,USDT
0xa36299f53c37c6ddcd2c59f84ec9bba9025c3f5f,406,372.415,1.090181652,36.325,USDT
0x14ee81f2095197322229389ff92587623b2bec5c,"5,000",372.415,13.42588242,447.350,DAI
0x292c13392fafc0d16dc45586eb317a038dd94d36,975,372.415,2.618400577,87.245,USDT
0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,"38,428.60",372.415,103.187573,"3,438.210",USDC
