CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM EQUIVALENT,USD returned at KSM price $33.32 ,USD returned at KSM price $33.32 (INCL 2.1% FEE),TokenSymbol
0x4dace5a18a8c9d4d5f0a01269df49e3cc2b52750,501,0.6394242208,21.306,20.85819712,USDC
0xb79786b11fa27df856ba58fb9f8f2cfa2f790522,"1,355.52",1.189626457,39.638,38.80594813,DAI
0x22d7d38717474569ea63cbda595f4bbc0f1b640d,"1,000",2.227674646,74.226,72.6673707,USDC
0x825c6a3983fef62030693e6ee90267747bcfbd8c,"1,025",0.02974066143,0.991,0.9701487033,DAI
0x0dec50b958d51fa29df7767e7298be834a897135,500,0.2974066143,9.910,9.701487033,USDC
0x42edc9e6a511bcc25503e1eff7ca77b635fb39ba,40,2.958960237,98.593,96.52211143,USDC
0x07a1f6fc89223c5ebd4e4ddae89ac97629856a0f,"10,000",57.96149185,"1,931.277",1890.720093,USDC
0x8d5f05270da470e015b67ab5042bdbe2d2fefb48,"1,790",0.5865168243,19.543,19.13234303,USDC
0xae7ae37d9d97abc1099995036f17701fd55cefe5,"1,500",5.825785667,194.115,190.0387597,DAI
0x2ff0ad27418a9d211cad22e0c11a1255abb5b3aa,"1,000",0.02952988424,0.984,0.9632730924,USDC
0xcbe33f591c334507b698de21e9b6eecb1b73e7ec,75,29.52988424,983.936,963.2730924,USDC
0xb7d9945166e3da89ee4c0947230753d656d116a5,"17,266.33",2.952988424,98.394,96.32730924,USDC
0x70e29afdccdd6012e4785f60168e46a68f4b1a42,388.256267,1.719262317,57.286,56.08281819,DAI
0x52d597334a853cfc0e5afde7e813ae5a7e965176,10,0.02952988424,0.984,0.9632730924,USDC
0x52d597334a853cfc0e5afde7e813ae5a7e965176,"3,009.01",0.02952988424,0.984,0.9632730924,USDC
0xa1d3aebf32163c96ef9a5ebaa38981e04ea41365,"1,200",5.950799991,198.281,194.1167619,USDC
0x74b4b8c7cb9a594a6440965f982def10bb9570b9,"1,636.45",1.987218923,66.214,64.82363768,USDC
0x09988e9aeb8c0b835619305abfe2ce68fea17722,"172,470.84",0.3532376181,11.770,11.52271001,USDC
0x3465d93b84ed7557d42d84cb7c8999fc3db2113d,"18,225.46",14.76494212,491.968,481.6365462,USDC
0xb032f8989e7634c6f5660155662f6d8c14a22ef1,"4,932.40",5.275299749,175.773,172.0817549,USDC
0x231919835aa6c37092ba56200e477a39d31f25b2,"3,000",0.9326172868,31.075,30.42223703,USDC
